"id","city","company","name","type","prod","type_ru","lat","long","out","name_en"
32,"Тазовский","ООО ""Газпром добыча Ямбург""","Тазовское месторождение","oil-gas-condensate","72.00","нефтегазоконденсатное",67.331944,78.998056,"/oil-gas-field/tazovskoe","Tazovskoe"
33,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Холмогорское месторождение","oil","70.00","нефтяное",62.95772,74.35546,"/oil-gas-field/kholmogorskoye","Kholmogorskoye"
34,"Нарьян-Мар","ООО «Газпром нефть шельф»","Приразломное месторождение","oil","70.00","нефтяное",69.25177,57.34176,"/oil-gas-field/prirazlomnoe","Prirazlomnoe"
35,"Игарка","ООО «ЛУКОЙЛ-Западная Сибирь»","Пякяхинское месторождение","oil-gas-condensate","69.50","нефтегазоконденсатное",67.469398,80.074539,"/oil-gas-field/pyakyakhinskoye","Pyakyakhinskoye"
36,"Воткинск","ОАО ""Удмуртнефть""","Гремихинское месторождение","oil","65.44","нефтяное",56.845029,53.657913,"/oil-gas-field/gremihinskoe","Gremihinskoe"
37,"Губкинский","АО «Газпромнефть-Ноябрьскнефтегаз»","Вынгаяхинское месторождение","oil-gas","62.00","нефтегазовое",63.75699,76.80404,"/oil-gas-field/vyngayakhinskoye","Vyngayakhinskoye"
38,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Ван-Еганское месторождение","oil-gas-condensate","62.00","нефтегазоконденсатное",61.873957,77.246933,"/oil-gas-field/van-eganskoe","Van Eganskoe"
39,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Спорышевское месторождение","oil","54.60","нефтяное",63.30651,75.51727,"/oil-gas-field/sporyshevskoye","Sporyshevskoye"
40,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Крайнее месторождение","oil","52.00","нефтяное",63.67428,74.31289,"/oil-gas-field/krainee","Krainee"
41,"Нягань","АО «РН-Няганьнефтегаз»","Ем-Ёговское месторождение","oil","51.00","нефтяное",61.806879,66.479645,"/oil-gas-field/yem-yogovskoye","Yem Yogovskoye"
42,"Нарьян-Мар","ООО ""Башнефть-Полюс""","Месторождение им. Р. Требса (Варкнавтское месторождение)","oil","51.00","нефтяное",68.653556,57.900696,"/oil-gas-field/r-trebs-varknavt","R Trebs Varknavt"
43,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Назымское месторождение","oil","43.00","нефтяное",62.450278,68.0075,"/oil-gas-field/nazymskoe","Nazymskoe"
