"id","city","company","name","type","prod"
246,"Астрахань","Собственник/Инвестор","Центральное месторождение","нефтегазоконденсатное",NA
247,"Астрахань","ПАО ""ЛУКОЙЛ""","Месторождение 170 км","нефтегазоконденсатное",NA
248,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Отдельное месторождение","нефтяное",NA
249,NA,"Собственник/Инвестор","Месторождение Урга","газовое",NA
250,"Тольятти","АО «РИТЭК»","Казаковское месторождение","нефтяное",NA
251,"Новый Уренгой","ООО ""Газпром добыча Надым""","Медвежье месторождение","нефтегазоконденсатное",NA
252,"пгт Ноглики","ПАО «Газпром»","Киринское месторождение","газоконденсатное",NA
253,"Усинск","ООО «ЛУКОЙЛ-Коми»","Баяндыское месторождение","нефтяное",NA
254,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Восточно-Сарутаюское месторождение","нефтяное",NA
255,"Самара","ПАО «Татнефть»","Иргизское месторождение","нефтяное",NA
256,"Ямбург","ООО ""Газпром добыча Ямбург""","Ямбургское месторождение","нефтегазоконденсатное",NA
257,"Новый Уренгой","ПАО ""НК ""РОСНЕФТЬ""","Пырейное месторождение","газоконденсатное",NA
258,"Новый Уренгой","ПАО «Газпром»","Песцовое месторождение","нефтегазоконденсатное",NA
259,"Воркута","ПАО ""НК ""РОСНЕФТЬ""","Хасырейское месторождение","нефтяное",NA
260,"Воркута","ПАО ""НК ""РОСНЕФТЬ""","Черпаюское месторождение","нефтяное",NA
261,"Новый Уренгой","ООО «РН-Пурнефтегаз»","Кынское месторождение","газоконденсатное",NA
262,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Торавейское месторождение","нефтяное",NA
263,"Губкинский","ООО «РН-Пурнефтегаз»","Комсомольское месторождение","нефтегазоконденсатное",NA
264,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Перевозное месторождение","нефтяное",NA
265,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Южно-Шапкинское месторождение","нефтегазоконденсатное",NA
266,"Нарьян-Мар","ПАО ""ЛУКОЙЛ""","Тэдинское месторождение","нефтяное",NA
267,"Усинск","ООО «ЛУКОЙЛ-Коми»","Возейское месторождение","нефтегазоконденсатное",NA
268,"Салехард","ООО «Газпромнефть-Оренбург»","Средне-Хулымское месторождение","нефтяное",NA
269,"Тобольск","ПАО ""НК ""РОСНЕФТЬ""","Кальчинское месторождение","нефтяное",NA
270,"Новый Уренгой","ООО «Газпромнефть-Оренбург»","Сандибинское месторождение","нефтяное",NA
271,"Славянск-на-Кубани","ПАО «Газпром»","Песчаное месторождение","нефтегазоконденсатное",NA
272,"Ханты-Мансийск","ООО «Газпромнефть-Оренбург»","Кислорское месторождение","нефтяное",NA
273,"Ханты-Мансийск","ПАО ""ЛУКОЙЛ""","Красноленинское месторождение","нефтегазоконденсатное",NA
274,"Нягань","ООО «Газпромнефть-Оренбург»","Сергинское месторождение","нефтяное",NA
275,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Северо-Хохряковское месторождение","нефтяное",NA
276,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Висовое месторождение","нефтяное",NA
277,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Верхнеколвинское месторождение","нефтяное",NA
278,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Западно-Хоседаюское месторождение","нефтяное",NA
279,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Сихорейское месторождение","нефтяное",NA
280,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Восточно-Сихорейское месторождение","нефтяное",NA
281,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Северо-Сихорейское месторождение","нефтяное",NA
282,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Северо-Ошкотынское месторождение","нефтяное",NA
283,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Сюрхаратинское месторождение","нефтяное",NA
284,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Пюсейское месторождение","нефтяное",NA
285,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Южно-Сюрхаратинское месторождение","нефтяное",NA
286,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Урернырдское месторождение","нефтяное",NA
287,"Нарьян-Мар","ООО ""СК ""РУСВЬЕТПЕТРО""","Восточно-Янемдейское месторождение","нефтяное",NA
288,"Нарьян-Мар","ПАО ""НК ""РОСНЕФТЬ""","Пасседское месторождение","нефтяное",NA
289,"Баку","Bp Plc","Месторождение Шах-Дениз","газоконденсатное",NA
290,"Оренбург","АО «Оренбургнефть»","Рыбкинское месторождение","нефтяное",NA
291,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Южно-Сургутское месторождение","нефтяное",NA
292,"Нурлат","ПАО «Татнефть»","Вишнево-Полянское месторождение","нефтяное",NA
293,"Новый Уренгой","ПАО «Газпром»","Малыгинское месторождение","газоконденсатное",NA
294,NA,"АО «Узбекнефтегаз»","Месторождения Шахпахты","газоконденсатное",NA
295,"Оренбург","АО НК ""РуссНефть""","Кошинское месторождение","газонефтяное",NA
296,"Оренбург","АО НК ""РуссНефть""","Яснополянское месторождение","газонефтяное",NA
297,"Тюмень","ООО «РН «Уватнефтегаз»","Южно-Петьёгское месторождение","нефтяное",NA
298,"Сургут","ПАО ""НК ""РОСНЕФТЬ""","Угутское месторождения","нефтяное",NA
299,"Нижневартовск","АО НК ""РуссНефть""","Тагринское месторождение","нефтегазоконденсатное",NA
300,"Пеледуй","ОАО ""Сургутнефтегаз""","Талаканское месторождение","нефтегазоконденсатное",NA
301,"Нижневартовск","АО НК ""РуссНефть""","Варьеганское месторождение","нефтегазоконденсатное",NA
302,"Нефтекамск","ПАО АНК «Башнефть»","Арланское месторождение","нефтяное",NA
303,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Усть-Балыкское месторождение","нефтяное",NA
304,"Оха","ПАО ""НК ""РОСНЕФТЬ""","Месторождение Усть-Эвай","газоконденсатное",NA
305,"Бованенково","ПАО «Газпром»","Крузенштернское месторождение","газоконденсатное",NA
306,"Бованенково","ПАО «Газпром»","Харасавэйское месторождение","газоконденсатное",NA
307,"Варандей","ООО «ЛУКОЙЛ-Коми»","Варандейское месторождение","нефтяное",NA
308,"Оренбург","АО «Оренбургнефть»","Кирсановское месторождение","нефтяное",NA
309,"Когалым","ООО ""ЛУКойл-Аик""","Когалымское месторождение","нефтяное",NA
310,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Тевлинско-Русскинское месторождение","нефтяное",NA
311,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Вать-Еганское месторождение","нефтяное",NA
312,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Повховское месторождение","нефтяное",NA
313,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Южно-Ягунское месторождение","нефтяное",NA
314,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Покачевское месторождение","нефтяное",NA
315,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Урьевское месторождение","нефтяное",NA
316,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Нонг-Еганское месторождение","нефтяное",NA
317,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Дружное месторождение","нефтяное",NA
318,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Нивагальское месторождение","нефтяное",NA
319,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Поточное месторождение","нефтяное",NA
320,"Лангепас","ООО «ЛУКОЙЛ-Западная Сибирь»","Кечимовское месторождение","нефтяное",NA
321,"Харьяга","ООО «ЛУКОЙЛ-Коми»","Ошское месторождение","нефтяное",NA
322,"Харьяга","ООО «ЛУКОЙЛ-Коми»","Восточно-Ламбейшорское месторождение","нефтяное",NA
323,"Печора","ООО «ЛУКОЙЛ-Коми»","Кыртаельское месторождение","нефтегазоконденсатное",NA
324,"Усолье","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Уньвинское месторождение","нефтяное",NA
325,"Чайковский","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Шагиртско-Гожанское месторождение","нефтяное",NA
326,"Усолье","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Сибирское месторождение","нефтяное",NA
327,"Саратов","ПАО ""ЛУКОЙЛ""","Памятно-Сасовское месторождение","нефтяное",NA
328,"Калининград","ПАО ""ЛУКОЙЛ""","Кравцовское месторождение","нефтяное",NA
329,"Новый Уренгой","ООО «ЛУКОЙЛ-Западная Сибирь»","Находкинское месторождение","нефтегазовое",NA
330,"Сабетта","ООО ""Арктик СПГ 3""","Северо-Обское месторождение (лицензионный участок)","газоконденсатное",NA
331,"Мунгуй","АО ""ТАЙМЫРНЕФТЕГАЗ""","Пайяхское месторождение","нефтяное",NA
332,"Новый Уренгой","ПАО «Газпром»","Ен-Яхинское месторождение","нефтегазоконденсатное",NA
333,"Пыть-Ях","ПАО ""НК ""РОСНЕФТЬ""","Среднебалыкское месторождение","нефтяное",NA
334,"Нарьян-Мар","АО «Независимая нефтегазовая компания»","Колвинское месторождение","нефтяное",NA
335,"Уренгой","ОАО «Севернефтегазпром»","Южно-Русское месторождение (ЮРНГКМ)","нефтегазоконденсатное",NA
336,"Тарко-Сале","ПАО «НОВАТЭК»","Термокарстовое месторождение","газоконденсатное",NA
337,"пгт Ноглики","ООО «Газпромнефть-Сахалин»","Месторождение Тритон (Аяшский участок)","нефтяное",NA
338,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Хохряковское месторождение","нефтяное",NA
339,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Салымское месторождение (Лемпинская площадь)","нефтяное",NA
340,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Киняминское месторождение","нефтяное",NA
341,"Усть-Кут","ООО «ИНК» (Иркутская нефтяная компания)","Марковское месторождение","нефтегазоконденсатное",NA
342,"Яр-Сале","ПАО «Газпром»","Северо-Тамбейский лицензионный участок","газоконденсатное",NA
343,NA,"ПАО «Газпром»","Русановский лицензионный участок","газоконденсатное",NA
344,NA,"ПАО «Газпром»","Ленинградское месторождение","газоконденсатное",NA
345,"Ленск","ПАО «Газпром»","Тас-Юряхское месторождение","нефтегазоконденсатное",NA
346,"Нефтеюганск","ПАО ""НК ""РОСНЕФТЬ""","Петелинское месторождение","нефтегазовое",NA
347,"Нефтеюганск","Собственник/Инвестор","Мултановское месторождение","нефтяное",NA
348,"Нягань","ПАО ""ЛУКОЙЛ""","Западно-Тугровское месторождение","нефтегазовое",NA
349,NA,"ПАО ""ЛУКОЙЛ""","Восточно-Тугровское месторождение","нефтегазовое",NA
350,"Ханты-Мансийск","ООО «ЛУКОЙЛ-Западная Сибирь»","Ловинское месторождение","нефтяное",NA
351,"Нижневартовск","Собственник/Инвестор","Южно-Гавриковское месторождение","нефтегазовое",NA
352,NA,"АО «Томскнефть» ВНК","Герасимовское месторождение","нефтегазоконденсатное",NA
353,"Усинск","ООО «ЛУКОЙЛ-Коми»","Южно-Юрьяхинское месторождение","нефтегазовое",NA
354,"Нарьян-Мар","ООО «ЛУКОЙЛ-Коми»","Пашшорское месторождение","нефтяное",NA
355,"Усинск","ООО «ЛУКОЙЛ-Коми»","Месторождение им. Алабушина","нефтяное",NA
356,"Иркутск","ПАО «Газпром нефть»","Игнялинское месторождение","нефтегазоконденсатное",NA
357,"Ленск","ПАО «Газпром нефть»","Тымпучиканское месторождение","нефтегазоконденсатное",NA
358,"Ленск","ПАО «Газпром нефть»","Вакунайское месторождение","нефтегазоконденсатное",NA
359,"Якутск","АО «САХАТРАНСНЕФТЕГАЗ»","Среднетюнгское месторождение","газоконденсатное",NA
360,"Ленск","ПАО «Газпром»","Верхневилючанское месторождение","нефтегазовое",NA
361,"Норильск","ПАО «Газпром»","Северо-Соленинское месторождение","газоконденсатное",NA
362,"Бузулук","АО «Оренбургнефть»","Бобровское месторождение","нефтегазовое",NA
363,"Тобольск","ООО «РН «Уватнефтегаз»","Тальцийское месторождение","нефтяное",NA
364,"Лабытнанги","ПАО «НОВАТЭК»","Мало-Ямальский лицензионный участок","газоконденсатное",NA
365,"Лабытнанги","ООО «Газпромнефть-Ямал»","Южно-Каменномысский лицензионный участок","нефтяное",NA
366,"Лабытнанги","ПАО «Газпром нефть»","Каменномысский лицензионный участок","нефтегазоконденсатное",NA
367,"Лабытнанги","ПАО «Газпром нефть»","Суровый лицензионный часток","нефтяное",NA
368,"Кунгур","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Кокуйское месторождение","нефтегазоконденсатное",NA
369,NA,"ООО «Газпром нефть шельф»","Долгинское месторождение","нефтяное",NA
370,"Ижевск","ОАО ""Удмуртнефть""","Ижевском месторождении","нефтяное",NA
371,"Нижневартовск","ОАО ""НГК ""Славнефть""","Ватинское месторождение","нефтяное",NA
372,"Новый Уренгой","ОАО ""Арктикгаз"" (""АРКТИЧЕСКАЯ ГАЗОВАЯ КОМПАНИЯ"")","Северо-Есетинское месторождение","нефтегазоконденсатное",NA
373,"Воркута","ПАО ""НК ""РОСНЕФТЬ""","Нядейюское месторождение","нефтяное",NA
374,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Имилорское месторождение","нефтяное",NA
375,"Сургут","ПАО ""ЛУКОЙЛ""","Чумпасское месторождение","нефтяное",NA
376,"Сосногорск","ООО «ЛУКОЙЛ-Коми»","Пашнинское месторождение","нефтегазоконденсатное",NA
377,"Мелеуз","АО «Оренбургнефть»","Волостновское месторождение","нефтяное",NA
378,NA,"АО НК ""РуссНефть""","Верхне-Шапшинское месторождение","нефтяное",NA
379,"Соликамск","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Жилинское месторождение","нефтегазоконденсатное",NA
380,"Печора","ООО «Газпром добыча Краснодар»","Печорогородское месторождение","газоконденсатное",NA
381,"Уват","ООО «РН «Уватнефтегаз»","Немчиновское месторождение","нефтяное",NA
382,"Нижневартовск","АО «Томскнефть» ВНК","Трайгородско-Кондаковское месторождение","нефтяное",NA
383,"Усинск","ПАО ""НК ""РОСНЕФТЬ""","Южно-Баганское месторождение","нефтяное",NA
384,"Сургут","ПАО ""НК ""РОСНЕФТЬ""","Кузоваткинское месторождение","нефтяное",NA
385,"Сабетта","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Верхнетиутейское месторождение","газовое",NA
386,"Сабетта","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Западно-Сеяхинское месторождение","газовое",NA
387,"Бузулук","АО «Оренбургнефть»","Росташинское месторождение","нефтяное",NA
388,"Бузулук","АО «Оренбургнефть»","Сорочинско-Никольское месторождение","нефтегазовое",NA
389,"Бузулук","АО «Оренбургнефть»","Гаршинское месторождение","нефтяное",NA
390,"Бузулук","АО «Оренбургнефть»","Покровское месторождение","нефтяное",NA
391,"Когалым","ООО «ЛУКОЙЛ-Западная Сибирь»","Северо-Кочевское месторождение","нефтяное",NA
392,"Соликамск","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Месторождение им. Сухарева","нефтяное",NA
393,"Бузулук","АО «Оренбургнефть»","Скворцовское месторождение","нефтяное",NA
394,"Туймазы","ПАО АНК «Башнефть»","Илишевское месторождение","нефтяное",NA
395,"Тулун","ПАО «Газпром»","Чиканское месторождение","газоконденсатное",NA
396,"Новый Уренгой","ООО «ЛУКОЙЛ-Западная Сибирь»","Хальмерпаютинское месторождение","газоконденсатное",NA
397,NA,"ПАО «Газпром»","Нярмейский участок","газовое",NA
398,NA,"ПАО «Газпром»","Месторождение им. В.А. Динкова","газовое",NA
399,NA,"ПАО «Газпром»","Скуратовский участок","газовое",NA
400,"Сургут","ООО «РН-Юганскнефтегаз»","Южно-Балыкское месторождение","нефтяное",NA
401,"Сургут","ООО «РН-Юганскнефтегаз»","Среднеугутское месторождение","нефтегазовое",NA
402,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Верхнеколик-Еганское месторождение","нефтегазоконденсатное",NA
403,"Ханты-Мансийск","ООО «РН «Уватнефтегаз»","Радонежское месторождение","нефтяное",NA
404,"Тобольск","ООО «РН «Уватнефтегаз»","Северо-Тямкинское месторождение","нефтяное",NA
405,"Норильск","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Нанадянское месторождение","газовое",NA
406,"Нижневартовск","АО «Русь-Ойл»","Варынгское месторождение","нефтегазоконденсатное",NA
407,"Нижневартовск","ПАО ""НК ""РОСНЕФТЬ""","Бахиловское месторождение","нефтегазоконденсатное",NA
408,"Тольятти","АО «РИТЭК»","Майоровское месторождение","нефтяное",NA
409,"Тольятти","АО «РИТЭК»","Марьинское месторождение","нефтяное",NA
410,"Сургут","ОАО ""Сургутнефтегаз""","Комарьинское месторождение","нефтегазоконденсатное",NA
411,"Мелеуз","ПАО АНК «Башнефть»","Тереклинское месторождение","нефтяное",NA
412,"Ханты-Мансийск","ООО «Газпромнефть-Хантос»","Южно-Приобское месторождение","нефтяное",NA
413,"Пермь","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Рассветное месторождение","нефтяное",NA
414,"Уфа","ПАО АНК «Башнефть»","Искринское месторождение","нефтяное",NA
415,"Новый Уренгой","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Южно-Хадырьяхинское месторождение","нефтегазоконденсатное",NA
416,"Новый Уренгой","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Стерховое месторождение","газоконденсатное",NA
417,"Томск","ООО «Газпромнефть-Восток»","Южно-Шингинское месторождение","нефтяное",NA
418,"Новый Уренгой","АО «Газпромнефть-Ноябрьскнефтегаз»","Западно-Чатылькинское месторождение","нефтяное",NA
419,"Печора","ООО «ЛУКОЙЛ-Коми»","Южно-Терехевейское месторождение","нефтяное",NA
420,"Норильск","ПАО «НОВАТЭК»","Солетско-Ханавейское месторождение","газоконденсатное",NA
421,"Салехард","ПАО «НОВАТЭК»","Штормовое месторождение","газовое",NA
422,"Певек","ООО «Газпромнефть-Сахалин»","Северо-Врангелевский лицензионный участок","нефтегазовое",NA
423,"Кодинск","ПАО «Газпром»","Абаканское месторождение","газовое",NA
424,NA,"ПАО «Газпром»","Ильбокичское месторождение","газоконденсатное",NA
425,"Богучаны","ПАО «Газпром»","Имбинское месторождение","газовое",NA
426,"Николаевск-на-Амуре","«Сахалин Энерджи Инвестмент Компани Лтд.» («Сахалин Энерджи» / ""SAKHALIN ENERGY"")","Лунское месторождение","нефтегазоконденсатное",NA
427,"Ленск","ОАО ""Сургутнефтегаз""","Ленское месторождение","нефтегазоконденсатное",NA
428,"Оха","«Сахалин Энерджи Инвестмент Компани Лтд.» («Сахалин Энерджи» / ""SAKHALIN ENERGY"")","Пильтун-Астохское месторождение","нефтегазоконденсатное",NA
429,"Аксай","Собственник/Инвестор","Карачаганакское месторождение","нефтегазоконденсатное",NA
430,"Альметьевск","АО «РИТЭК»","Енорускинское месторождение","нефтяное",NA
431,"Новый Уренгой","АО ""Зарубежнефть""","Луцеяхское месторождение","нефтяное",NA
432,"Феодосия","Собственник/Инвестор","Поворотное месторождение","газоконденсатное",NA
433,"Уфа","ПАО АНК «Башнефть»","Манчаровское месторождение","нефтяное",NA
434,"Новый Уренгой","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Юмантыльское месторождение","нефтегазоконденсатное",NA
435,NA,NA,"Прохоровское месторождение","нефтяное",NA
436,"Новый Уренгой","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Усть-Ямсовейское месторождение","газоконденсатное",NA
437,"Новый Уренгой","ОАО ""Арктикгаз"" (""АРКТИЧЕСКАЯ ГАЗОВАЯ КОМПАНИЯ"")","Северо-Часельское НГКМ","нефтегазоконденсатное",NA
438,"Тазовский","ООО «ЛУКОЙЛ-Западная Сибирь»","Южно-Мессояхское месторождение","газоконденсатное",NA
439,"Яр-Сале","ПАО «Газпром нефть»","Хамбатейское месторождение","газоконденсатное",NA
440,"Усть-Илимск","ООО «Газпром добыча Краснодар»","Собинское месторождение","нефтегазоконденсатное",NA
441,"Ноябрьск","ООО «РН-Пурнефтегаз»","Южно-Тарасовское месторождение","нефтяное",NA
442,"Губкинский","ООО «ЛУКОЙЛ-Западная Сибирь»","Северо-Губкинское месторождение","нефтегазоконденсатное",NA
443,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Валынтойское месторождение","нефтяное",NA
444,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Ендырское месторождение","нефтяное",NA
445,"Ямбург","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Геофизическое месторождение","нефтегазоконденсатное",NA
446,"Усть-Кут","ООО ""Газпром добыча Иркутск""","Хандинское месторождение","газоконденсатное",NA
447,"Ленск","ООО ""Газпромнефть-Ангара""","Хотого-Мурбайское месторождение","газовое",NA
448,"Вилюйск","ООО ""Газпром геологоразведка""","Соболох-Неджелинское месторождение","газоконденсатное",NA
449,"Братск","АО ""Братскэкогаз""","Братское месторождение","газоконденсатное",NA
450,"Богучаны","ООО ""Газпром геологоразведка""","Берямбинское месторождение","газовое",NA
451,"Куюмба","ООО «Красноярскгазпром нефтегазпроект»","Ново-Юдуконское месторождение","газоконденсатное",NA
452,"Стрежевой","ОАО «Томскгазпром»","Северо-Васюганское месторождение","газоконденсатное",NA
453,"Кедровый","ОАО «Томскгазпром»","Мирное месторождение","нефтегазоконденсатное",NA
454,"Тарко-Сале","ООО ""Газпром добыча Ноябрьск""","Кутымское месторождение","нефтегазоконденсатное",NA
455,"Тарко-Сале","ООО ""Газпром добыча Ноябрьск""","Восточно-Тэрельское месторождение","нефтегазовое",NA
456,"Красноселькуп","ООО ""Газпром добыча Ноябрьск""","Южно-Кыпакынское месторождение","газоконденсатное",NA
457,"Тарко-Сале","АО «НК «Мангазея»","Акайтемское месторождение","нефтегазовое",NA
458,"Новый Уренгой","ОАО «Севернефтегазпром»","Яровое месторождение","нефтегазоконденсатное",NA
459,"Новый Уренгой","АО «Сибнефтегаз»","Западно-Заполярное месторождение","газовое",NA
460,"Новый Уренгой","ООО ""Газпром добыча Уренгой""","Западно-Песцовое месторождение","нефтегазоконденсатное",NA
461,"Новый Уренгой","ООО ""Газпром добыча Уренгой""","Южно-Песцовое месторождение","газоконденсатное",NA
462,"Новый Уренгой","ООО ""Газпром добыча Надым""","Падинское месторождение","газоконденсатное",NA
463,"Новый Уренгой","ООО ""Газпром добыча Надым""","Южно-Падинское месторождение","нефтегазоконденсатное",NA
464,"Тарко-Сале","АО ""НК ""Технологии добычи нефти и инвестиции"" (""Технефтьинвест"")","Дремучее месторождение","нефтегазоконденсатное",NA
465,"Новый Уренгой","ООО ""Газпром добыча Надым""","Пангодинское месторождение","газоконденсатное",NA
466,"Тарко-Сале","ООО «ЛУКОЙЛ-Западная Сибирь»","Присклоновое месторождение","нефтегазоконденсатное",NA
467,"Губкинский","ОАО ""НК ""Янгпур""","Вьюжное месторождение","газоконденсатное",NA
468,"Ямбург","Собственник/Инвестор","Харвутинское месторождение","нефтегазовое",NA
469,"Ямбург","ООО ""Газпром добыча Ямбург""","Южно-Парусовое месторождение","газоконденсатное",NA
470,"Ямбург","ООО ""РусГазАльянс""","Северо-Парусовое месторождение","газовое",NA
471,"Ямбург","ООО ""РусГазАльянс""","Парусовое месторождение","нефтегазовое",NA
472,"Ямбург","ООО ""РусГазАльянс""","Семаковское месторождение","газовое",NA
473,"Ямбург","ПАО «Газпром»","Антипаютинское месторождение","газовое",NA
474,"Ямбург","ПАО «Газпром»","Тота-Яхинское месторождение","газовое",NA
475,"Яр-Сале","ПАО «Газпром»","Чугорьяхинское месторождение","газоконденсатное",NA
476,"Бованенково","ПАО «Газпром»","Южно-Крузенштернское месторождение","газовое",NA
477,"Сабетта","ПАО «Газпром»","Западно-Тамбейское месторождение","нефтегазоконденсатное",NA
478,"Лабытнанги","ООО ""Газпром добыча Ямбург""","Северо-Каменномысское месторождение","газоконденсатное",NA
479,"Нарьян-Мар","ОАО Арктикморнефтегазразведка","Поморское месторождение","газоконденсатное",NA
480,"Печора","ООО «Газпром добыча Краснодар»","Печорокожвинское месторождение","нефтегазоконденсатное",NA
481,"Печора","ООО «Газпром добыча Краснодар»","Северо-Югидское месторождение","нефтегазоконденсатное",NA
482,"Вуктыл","ООО «Газпром добыча Краснодар»","Западно-Соплесское месторождение","нефтегазоконденсатное",NA
483,"Печора","ООО «Газпром добыча Краснодар»","Югидское месторождение","нефтегазоконденсатное",NA
484,"Вуктыл","ООО «Газпром добыча Краснодар»","Вуктыльское месторождение","нефтегазоконденсатное",NA
485,"Нижний Тагил","ООО ""Газпром добыча Ноябрьск""","Кедровское месторождение","газовое",NA
486,"Екатеринбург","ПАО «Газпром»","Сухореченское месторождение","нефтегазовое",NA
487,"Оренбург","АО ""УНГП"" (АО ""Уралнефтегазпром"")","Копанское месторождение","нефтегазоконденсатное",NA
488,"Оренбург","АО ""УНГП"" (АО ""Уралнефтегазпром"")","Теректинское месторождение","газоконденсатное",NA
489,"Оренбург","ООО ""Газпром добыча Оренбург""","Акобинское месторождение","газовое",NA
490,"Усть-Кут","ООО «Газпром добыча Краснодар»","Патроновское месторождение","газоконденсатное",NA
491,"Дмитровград","ООО «Газпром добыча Краснодар»","Плотинское месторождение","газовое",NA
492,"Дмитровград","ООО «Газпром добыча Краснодар»","Дубовское месторождение","газоконденсатное",NA
493,"Ростов-на-Дону","ООО «Газпром добыча Краснодар»","Синявское месторождение","газовое",NA
494,"Приморско-Ахтарск","ООО «Газпром добыча Краснодар»","Бейсугское месторождение","газовое",NA
495,"Приморско-Ахтарск","ООО «Газпром добыча Краснодар»","Свободненское месторождение","газовое",NA
496,"Приморско-Ахтарск","ООО «Газпром добыча Краснодар»","Лебединское месторождение","газовое",NA
497,"Приморско-Ахтарск","ООО «Газпром добыча Краснодар»","Каневско-Лебяжье месторождение","газоконденсатное",NA
498,"Ейск","ООО «Газпром добыча Краснодар»","Староминское месторождение","газоконденсатное",NA
499,"Тимашевск","ООО «Газпром добыча Краснодар»","Гречаное месторождение","газовое",NA
500,"Тимашевск","ООО «Газпром добыча Краснодар»","Роговское месторождение","газовое",NA
501,"Тимашевск","ООО «Газпром добыча Краснодар»","Днепровское месторождение","газовое",NA
502,"Тимашевск","ООО «Газпром добыча Краснодар»","Крыловское месторождение","газоконденсатное",NA
503,"Тимашевск","ООО «Газпром добыча Краснодар»","Восточно-Крыловское месторождение","газоконденсатное",NA
504,"Тихорецк","ООО «Газпром добыча Краснодар»","Челбасское месторождение","газоконденсатное",NA
505,"Батайск","ООО «Газпром добыча Краснодар»","Северо-Екатериновское месторождение","газоконденсатное",NA
506,"Тихорецк","ООО «Газпром добыча Краснодар»","Южно-Сердюковское месторождение","газоконденсатное",NA
507,"Тихорецк","ООО «Газпром добыча Краснодар»","Березанское месторождение","газоконденсатное",NA
508,"Тихорецк","ООО «Газпром добыча Краснодар»","Сердюковское месторождение","газоконденсатное",NA
509,"Тихорецк","ООО «Газпром добыча Краснодар»","Ильинское месторождение","газоконденсатное",NA
510,"Новоалександровск","ООО «Газпром добыча Краснодар»","Расшеватское месторождение","газоконденсатное",NA
511,"Ставрополь","ПАО «Газпром»","Северо-Ставропольско-Пелагиадинское месторождение","газовое",NA
512,"Ставрополь","ООО «Газпром добыча Краснодар»","Сенгилеевское месторождение","газовое",NA
513,"Армавир","ООО «Газпром добыча Краснодар»","Николаевское месторождение","газоконденсатное",NA
