"id","city","company","name","type","prod"
50,"Киренск","ООО «ИНК» (Иркутская нефтяная компания)","Западно-Аянское месторождение","нефтегазоконденсатное","33.58 млн. тонн"
51,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Северо-Рогожниковское (имени В. И. Шпильмана) месторождение","нефтяное","32.95 млн. тонн"
52,"Северск","АО ""Новосибирскнефтегаз""","Верх-Тарское месторождение","нефтяное","32.00 млн. тонн"
53,"Ханты-Мансийск","ООО ""Башнефть-Полюс""","Тортасинское месторождение","нефтяное","29.00 млн. тонн"
54,"Астрахань","ПАО ""ЛУКОЙЛ""","Месторождение им. Ю. Корчагина","нефтегазоконденсатное","28.80 млн. тонн"
55,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Равнинное месторождение","нефтяное","28.00 млн. тонн"
56,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Вынгапуровское месторождение","нефтегазовое","26.00 млн. тонн"
57,"Оренбург","Собственник/Инвестор","Сладковско-заречное месторождение","нефтяное","26.00 млн. тонн"
58,"Кедровый","ООО «Газпромнефть-Восток»","Урманское месторождение","нефтяное","25.25 млн. тонн"
59,"Оренбург","ООО «Газпромнефть-Оренбург»","Царичанское месторождение","нефтегазоконденсатное","25.00 млн. тонн"
60,"Демьянское","ООО «Газпромнефть-Хантос»","Зимнее месторождение","нефтяное","23.00 млн. тонн"
61,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Западно-Эргинское месторождение","нефтяное","23.00 млн. тонн"
62,"Нягань","ООО «Газпромнефть-Хантос»","Пальяновское месторождение","нефтяное","20.30 млн. тонн"
63,"Тара","ООО «Газпромнефть-Восток»","Крапивинское месторождение Юго-Западная часть","нефтяное","20.00 млн. тонн"
64,"Губкинский","АО «Газпромнефть-Ноябрьскнефтегаз»","Еты-Пуровское месторождение","нефтегазовое","20.00 млн. тонн"
65,"Кедровый","ООО «Газпромнефть-Восток»","Арчинское месторождение","нефтегазоконденсатное","18.22 млн. тонн"
66,"Салым","ООО «РН «Уватнефтегаз»","Косухинское месторождение","нефтяное","18.00 млн. тонн"
67,"Нижневартовск","ООО «Газпромнефть-Хантос»","Малоюганское месторождение","нефтяное","17.30 млн. тонн"
68,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Романовское месторождение","нефтяное","17.10 млн. тонн"
69,"Южно-Сахалинск","Эксон Нефтегаз Лимитед","Месторождение Чайво","нефтегазоконденсатное","14.00 млн. тонн"
70,"Тара","АО «Томскнефть» ВНК","Игольско-Таловое месторождение","нефтяное","13.00 млн. тонн"
71,"Нижневартовск","ООО «Газпромнефть-Хантос»","Южное месторождение","нефтяное","12.90 млн. тонн"
72,"Саратов","ООО «НК ГеоПромНефть»","Клинцовское месторождение","нефтяное","12.00 млн. тонн"
73,"Тобольск","ООО «РН «Уватнефтегаз»","Протозановское месторождение","нефтяное","12.00 млн. тонн"
74,"Пыть-Ях","ООО «РН-Юганскнефтегаз»","Месторождение им. Московцева","нефтяное","11.00 млн. тонн"
75,"Томск","АО НК ""РуссНефть""","Южно-Мыльджинское месторождение","нефтяное","10.50 млн. тонн"
76,"Иркутск","АО «ИНК-Запад»","Ичединское месторождение","нефтяное","10.00 млн. тонн"
77,"Усинск","ООО ""Енисей""","Западно-Сынатыское месторождение","нефтегазовое","9.00 млн. тонн"
78,"Новый Уренгой","ПАО ""НК ""РОСНЕФТЬ""","Береговое месторождение","газоконденсатное","9.00 млн. тонн"
79,"Ханты-Мансийск","ОАО ""Сургутнефтегаз""","Южно-Нюрымское месторождение","нефтяное","8.50 млн. тонн"
80,"Сорочинск","ООО «Газпромнефть-Оренбург»","Балейкинское месторождение","нефтяное","7.22 млн. тонн"
81,"Оха","ПАО ""НК ""РОСНЕФТЬ""","Месторождение Тунгор","нефтегазоконденсатное","6.87 млн. тонн"
82,"Нижневартовск","ООО «Газпромнефть-Хантос»","Орехово-Ермаковское месторождение","нефтяное","6.80 млн. тонн"
83,"Тазовский","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Северо-Русское месторождение","газоконденсатное","6.50 млн. тонн"
84,"Оренбург","ООО «Газпромнефть-Оренбург»","Капитоновское месторождение","нефтегазовое","5.80 млн. тонн"
85,"Нефтегорск","АО ""Самаранефтегаз""","Кулешовское месторождение","нефтяное","5.10 млн. тонн"
86,"Бариновка","АО ""Самаранефтегаз""","Бариновско-Лебяжинское месторождение","нефтяное","4.60 млн. тонн"
87,"Отрадный","АО ""Самаранефтегаз""","Мухановское месторождение","нефтяное","4.10 млн. тонн"
88,"Тымовское","ПАО «Газпром»","Южно-Киринское месторождение","газоконденсатное","4.10 млн. тонн"
89,"Нефтегорск","АО ""Самаранефтегаз""","Утевское месторождение","нефтяное","3.94 млн. тонн"
