"lat","long","id"
67.757839,83.553772,1
66.673514,80.539055,2
61.701389,72.084167,3
58.247954,73.55351,4
66.16939,57.360992,5
61.386856,67.185516,6
60.166667,109.333333,7
60.743559,77.238007,8
60.764526,69.8909,9
61.33321,73.153153,10
64.704387,75.410843,11
60.907738,70.791779,12
61.702895,73.869324,13
61.783351,113.14476,14
62.385588,67.441292,15
63.347278,53.605471,16
46.489727,65.60162,17
45.000278,48.561944,18
63.81341,73.57818,19
64.5903,74.66583,20
60.889704,78.987579,21
67.781219,72.559204,22
64.227005,79.568911,23
63.927613,79.647102,24
63.904772,79.707184,25
52.360833,144.096944,26
67.005278,77.479167,27
57.130184,54.028702,28
67.540278,83.1875,29
62.965212,67.49176,30
56.259753,54.060974,31
67.331944,78.998056,32
62.95772,74.35546,33
69.25177,57.34176,34
67.469398,80.074539,35
56.845029,53.657913,36
63.75699,76.80404,37
61.873957,77.246933,38
63.30651,75.51727,39
63.67428,74.31289,40
61.806879,66.479645,41
68.653556,57.900696,42
62.450278,68.0075,43
47.186083,47.510259,44
58.947778,74.265556,45
67.014444,80.895833,46
68.303428,58.371048,47
45.062778,48.610833,48
60.166669,95.414478,49
57.705615,107.432556,50
62.423446,66.906738,51
56.803698,78.718586,52
62.211389,69.501111,53
44.924722,48.985556,54
63.32809,79.52316,55
63.05247,76.91253,56
51.666389,52.828056,57
57.60606,78.41148,58
52.22275,54.2134,59
59.63929,68.89114,60
60.572222,69.030278,61
61.73412,66.95617,62
57.90682,75.53924,63
63.96451,77.56896,64
57.49479,78.46504,65
58.960556,71.806111,66
60.183333,75.083333,67
63.83945,73.9833,68
52.422778,143.449167,69
57.677356,76.293182,70
60.62269,75.98281,71
51.658341,49.199352,72
58.923613,72.790432,73
60.060833,72.731389,74
58.522568,78.138027,75
57.874229,105.786804,76
66.32124,57.227097,77
65.832873,78.85231,78
59.684988,69.913387,79
52.45182,53.73275,80
53.383333,142.966667,81
60.83219,75.73287,82
67.162778,80.235278,83
52.03221,54.02526,84
52.847416,51.209593,85
52.907349,50.854855,86
53.338356,51.534977,87
51.177621,144.294434,88
52.882702,51.017675,89
60.18045,75.14099,90
44.866667,38.698611,91
44.215833,49.286667,92
58.276174,75.752059,93
58.31886,78.50349,94
51.305278,55.306944,95
NA,NA,96
58.07896,78.66004,97
58.17685,78.6985,98
63.77095,74.68643,99
63.99523,74.88418,100
64.18665,75.42251,101
64.14895,74.47357,102
64.2422,74.93499,103
64.00245,74.24697,104
63.24723,74.56146,105
62.89146,75.2481,106
63.40689,74.78118,107
63.44498,74.99679,108
63.44437,76.92901,109
63.14939,77.83264,110
63.23115,80.06835,111
63.44621,80.98297,112
63.16613,81.21917,113
51.63762,55.40817,114
NA,NA,115
NA,NA,116
61.323656,70.298767,117
53.713574,50.809364,118
56.717696,52.534218,119
57.26902,53.361969,120
57.678457,52.932129,121
57.936771,56.842918,122
60.574151,76.500549,123
68.494467,78.364277,124
68.510571,79.748554,125
71.309156,71.858826,126
67.512771,76.637878,127
67.785892,77.052612,128
